url,table_id,field,value
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 sep 24,IMSA Sportscar Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 oct 07,IMSA Championship + NA Endur’ Cup
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 oct 15,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 nov 5,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 nov 18,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-targa-4-gts-991-2-2017-2019/,1,911 carrera gts,"$ 119,000"
https://www.stuttcars.com/porsche-911-targa-4-gts-991-2-2017-2019/,1,911 carrera 4 gts,"$ 125,900"
https://www.stuttcars.com/porsche-911-targa-4-gts-991-2-2017-2019/,1,911 carrera gts cabriolet,"$ 131,300"
https://www.stuttcars.com/porsche-911-targa-4-gts-991-2-2017-2019/,1,911 carrera 4 gts cabriolet,"$ 138,200"
https://www.stuttcars.com/porsche-911-targa-4-gts-991-2-2017-2019/,1,911 targa 4 gts,"$ 138,200"
https://www.stuttcars.com/porsche-911-carrera-4-gts-cabriolet-991-2-2017-2019/,1,911 carrera gts,"$ 119,000"
https://www.stuttcars.com/porsche-911-carrera-4-gts-cabriolet-991-2-2017-2019/,1,911 carrera 4 gts,"$ 125,900"
https://www.stuttcars.com/porsche-911-carrera-4-gts-cabriolet-991-2-2017-2019/,1,911 carrera gts cabriolet,"$ 131,300"
